PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Greyson Sigg,2022,73.0,68.71,-0.1,-0.6195,-0.9415,0.2422,0.3419,0.3883,0.3635,0.0421,-0.9149,-0.2577,-0.115,0.3089,0.0107,-0.2526,-0.1246,0.5795,-0.2868
Matt Wallace,2022,73.0,69.08,-0.1,0.4446,0.3402,-0.7067,-1.0623,-0.3574,-0.2486,-0.1328,0.2743,0.332,-0.6551,-0.657,1.3473,-0.6842,0.5391,-1.1748,0.4626
Richy Werenski,2022,73.5,69.59,-0.1,-0.082,-0.3244,-0.8463,-0.2564,-0.8223,-1.6994,-0.5841,0.9801,-0.041,-0.6979,0.0358,-0.9277,0.0549,-0.5671,0.4344,0.5714
Dylan Wu,2022,73.5,68.58,-0.1,-0.2027,-0.3097,0.5515,-0.2728,0.4685,1.3984,0.0365,0.3577,0.1309,1.6336,0.2889,0.5226,0.5658,0.1124,0.1838,0.1701
Jason Day,2023,65.25,67.74,0.3798,0.5214,0.1847,0.693,-0.0302,1.0844,1.1143,-0.4374,-0.0758,1.1604,0.4917,0.0025,1.3947,0.4269,0.8709,0.6719,1.432
Si Woo Kim,2023,65.5,67.88,-0.0909,-0.3233,-0.8826,1.4438,1.4007,1.7758,0.5292,1.2269,0.1048,1.0735,-1.1119,1.2947,-0.321,0.4071,0.5865,0.0651,-0.1828
Austin Eckroat,2023,65.5,69.41,-0.1,0.0716,-0.4602,0.5515,0.7346,-0.0766,-0.1066,0.3073,0.6189,0.2964,0.9508,-0.9301,-0.9656,-0.8131,-1.5785,-0.4889,-0.7002
Scottie Scheffler,2023,66.0,66.79,0.8512,1.0918,0.8181,1.2175,0.7264,1.0018,2.8391,0.6853,-0.9149,1.7876,1.5908,-1.6362,1.7928,0.5509,1.187,2.0964,-0.1393
Tyrrell Hatton,2023,66.0,67.83,-0.1,0.664,0.1929,0.9534,1.1314,1.7003,0.0152,-0.003,-0.7676,1.3158,0.6796,1.0083,-0.8519,-1.1901,0.7919,0.7114,0.4989
Zecheng Dou,2023,66.0,69.5,-0.1,0.5762,0.5644,-0.9237,-0.1659,-1.4925,-0.2655,0.6063,0.3354,0.0998,-0.9192,-1.2498,-1.8946,0.8138,-0.7409,-1.0033,-1.0169
